id,label,creative_fields
sb_brands,SebastianBednarek,"art direction, web design, graphic design, branding"
nextpage_agency,NextpageAgency,"ui/ux, illustration, web design, art direction, interaction design"
endalaust,EmiHaze,"editorial design, graphic design, digital art, digital photography, illustration, advertising"
jegorwalowski,JegorWalowski,"ui/ux, illustration, web design, art direction, interaction design"
alexseagull,AlexSeagull,"ui/ux, illustration, web design, art direction, interaction design"
lukaszdrozdz,LukaszDrozdz,"branding, ui/ux, graphic design, web design, art direction"
pellisco,Pellisco,"photojournalism, product design, architecture, ui/ux, photography, graphic design, cinematography, computer animation, digital art, illustration, toy design, web design, art direction, advertising, typography"
maxschewts,MaximShevchenko,"ui/ux, graphic design, illustration, web design, art direction, interaction design"
uprockpro,EvgenyUPROCK,"web design, interaction design, ui/ux"
pixelsurplus,PixelSurplus,"branding, ui/ux, graphic design, print design, fashion, web design, art direction, advertising, typography"
kate-silva,KateSilva,"ui/ux, graphic design, illustration, web design, art direction, interaction design"
daryamalikova,DaryaMalikova,"drawing, branding, packaging, advertising, editorial design, fine arts, graphic design, interior design, fashion, painting, digital art, illustration, art direction, architecture"
graphicassets,GraphicAssets,"branding, graphic design, painting, digital art, illustration, art direction, advertising"
anagrama,AnagramaStudio,"film, branding, packaging, graphic design, calligraphy, motion graphics, illustration, web design, art direction, interaction design, typography"
mossawi,HussainAlmossawi,"product design, industrial design, graphic design, interior design, fashion, digital art, automotive design, toy design, architecture, typography"
kurbonzodski,FiruzKurbonzdski,"product design, branding, packaging, graphic design, fashion, copywriting, illustration, web design, art direction"
musawi,MohammedAouda,"creative direction, film, branding, icon design, ui/ux, graphic design, motion graphics, illustration, art direction, advertising, typography"
alice_kau,AliceKau,"web design, graphic design, interaction design, ui/ux"
microsoftdesign,MicrosoftDesign,"product design, branding, ui/ux, industrial design, motion graphics, digital art, illustration, music, animation, art direction, landscape design, interaction design"
sawdust,SAWDUST,"branding, editorial design, motion graphics, graphic design, digital art, music, illustration, art direction, advertising, typography"
almefer,AlMefer,"creative direction, photography, fine arts, graphic design, landscape design, digital art, illustration, art direction, architecture"
d_0307094527,DmitriyKrasiuk,"furniture design, photography, interior design, illustration, art direction, advertising"
zeligsound,ZeligSound,"sound design, creative direction, film, visual effects, ui/ux, directing, motion graphics, graphic design, computer animation, digital art, music, animation, art direction"
anamiminoshvili,AnaMiminoshvili,"drawing, pattern design, branding, packaging, icon design, crafts, character design, ui/ux, graphic design, digital art, illustration, art direction"
abrate_emanuele,EmanueleAbrate,"creative direction, branding, editorial design, graphic design, art direction"
sanjogkarulkar,SanjogKarulkar,"film, photography, digital photography, art direction, advertising"
k_pashukov,KirillPashukov,"ui/ux, graphic design, illustration, web design, interaction design"
netguru,NetguruTeam,"product design, branding, ui/ux, character design, motion graphics, graphic design, web development, illustration, web design, art direction, interaction design"
avitko,LogodesignAllaAvitko,"product design, branding, icon design, character design, graphic design, calligraphy, painting"
mz09,JulioCesar,"drawing, street art, character design, painting, digital art, game design, editing, illustration, animation"
ntnay,Antonay,"creative direction, branding, packaging, character design, graphic design, motion graphics, digital art, illustration, art direction, typography"
homeadore,HomeAdore,"interior design, architecture, digital photography"
drfranken,NastPlas,"creative direction, character design, digital art, illustration, animation, art direction"
cuberto,Cuberto,"drawing, visual effects, film, branding, ui/ux, motion graphics, graphic design, digital art, illustration, web design, art direction, programming, interaction design"
morphine-mg,MORPHINEMotionGraphics,"branding, packaging, character design, motion graphics, graphic design, digital art, illustration, animation, art direction, advertising"
markanetwork,MarkaNetwork,"packaging, branding, graphic design, illustration, art direction"
mustafa-akulker,MustafaAklker,"packaging, branding, graphic design, illustration, art direction"
nx-design,NXC,"product design, packaging, branding, industrial design, graphic design, illustration, animation, advertising"
oh-ja,OHJA,"branding, photography, editorial design, graphic design, illustration, art direction, advertising, typography"
lenalaballena,LenaVargas,"product design, packaging, cartooning, character design, graphic design, motion graphics, digital art, illustration, animation, typography"
thisset,VISUALSCIENTIST,"photojournalism, visual effects, retouching, photography, directing, fine arts, cinematography, painting, digital art, editing, digital photography, illustration"
patrykpolak,PatrykPolak,"web design, graphic design, interaction design, ui/ux"
vdas,VisualDesignArtSchool,"visual effects, branding, character design, motion graphics, graphic design, digital art, animation"
the18thltrfotography,the18thletterphotography,"photography, digital art, digital photography"
marinm,MarinMyftiu,"product design, branding, ui/ux, industrial design, motion graphics, graphic design, automotive design"
skyrill,Skyrillcom,"photojournalism, product design, branding, photography, industrial design, graphic design, information architecture, digital art, automotive design, web design, art direction, typography"
angelalejandro,AngelAlejandro,"branding, packaging, graphic design, fashion, digital art, illustration, art direction, advertising"
